,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,1.2181787198591296,1.2133558384658203,1.387963729892323,1.12967284230968,1.4923522526633206,1.5702052302168745,1.2791714571121624,1.512569052830278,1.7792166229086535,1.3923631647859123,1.9669647416131193,1.912168167217357,2.0552701259184927,3.443145595866017,4.49349670122526,6.225696212327958,7.583910731550112,4.621313085325337,6.063946285120498,3.0194479835981687,7.824381907257605,6.047717842323651,6.032258064516129,4.815756035578145,7.804526748971194,5.875886524822695,11.70949720670391,6.811320754716981,6.70391061452514,7.008403361344538,8.616438356164384,10.119402985074627,6.573913043478261,8.876923076923077,7.946428571428571
quickRatio,0.5577729600772515,0.6542349751306316,0.7324643620035747,0.6427262618827619,0.8897970519967465,0.9521857260686042,0.4700605009706542,0.7143152902333165,0.8681597426582047,0.7148140807660556,1.0213338549921198,0.9560933959667013,1.1420192276567507,2.5364414340468358,2.8664278982092366,4.50258037449034,5.054164172920215,3.2900241185080388,4.353754274980445,1.7771981578847957,5.7059359690099125,3.513485477178423,3.375876577840112,3.0686149936467597,5.1234567901234565,3.2907801418439715,8.039106145251397,4.928301886792453,4.620111731843576,4.504201680672269,5.383561643835616,6.552238805970149,4.756521739130434,6.1692307692307695,5.196428571428571
cashRatio,0.07994016794630263,0.08539979529906089,0.08459392301320895,0.04574569714813713,0.19814708274644394,0.29983989132016886,0.04250146069321673,0.09854062995801859,0.15954799241213713,0.14632585765361142,0.3658530115848038,0.2214688265905071,0.3606946557472567,1.7877265233000492,0.5659717247879359,0.5610145535565177,0.5853379218268036,0.9741544412294795,0.9180288557611607,0.7870646697826482,2.318480118491512,1.9688796680497926,1.455820476858345,1.6035578144853875,3.6419753086419755,2.25709219858156,4.217877094972067,3.7056603773584906,3.368715083798883,3.1512605042016806,3.0,4.462686567164179,3.3130434782608695,4.030769230769231,2.6785714285714284
daysOfSalesOutstanding,147.9982420894023,97.07943132907265,91.96905692720769,110.72885611831,109.09898076176549,104.09272162302611,107.25976734545831,96.16238149941317,83.47934774451855,84.9371507343195,77.48515921961236,88.4862427924996,82.7399926229931,79.32485595466984,70.3173531854237,86.58781018275471,50.7409045574149,53.94712147571053,48.09946560391287,100.2705044077213,91.35335919356574,75.36888087643878,94.52989027620129,95.60313493866424,66.88724866378215,53.72254481191619,99.15011914217632,55.783018867924525,61.986353297953,64.50603732162459,66.57232704402516,58.13424345847554,63.11458333333334,53.349106203995795,63.69430693069307
daysOfInventoryOutstanding,245.08160210079393,128.22455904983624,126.71353416842699,130.26492715380513,140.53292371353783,136.59844241540705,143.80212806565513,157.05462805004137,143.19472988106918,142.94585865371863,140.01899555383721,134.74080885580787,126.84713975908956,203.89938306400694,161.7635509921404,165.89681566889053,191.27843874612225,145.1906881737699,148.30322571238736,139.9113778015725,163.26349536355607,160.76960309777348,199.887471867967,151.93275577557756,199.34310532030403,181.91841937539834,185.05244755244755,198.73665480427047,197.70833333333334,204.2596153846154,152.5765765765766,167.8413654618474,169.37354988399073,153.78172588832487,160.99697885196375
operatingCycle,393.07984419019624,225.3039903789089,218.68259109563468,240.99378327211514,249.63190447530332,240.69116403843316,251.06189541111343,253.21700954945453,226.67407762558773,227.88300938803815,217.50415477344956,223.22705164830745,209.58713238208264,283.22423901867677,232.0809041775641,252.48462585164523,242.01934330353714,199.13780964948043,196.40269131630023,240.1818822092938,254.61685455712183,236.13848397421225,294.4173621441683,247.53589071424182,266.23035398408615,235.64096418731452,284.2025666946239,254.51967367219498,259.69468663128634,268.76565270623996,219.14890362060174,225.97560892032294,232.48813321732408,207.13083209232067,224.69128578265682
daysOfPayablesOutstanding,60.27272281054814,50.97969195964698,55.16031376559073,50.00140358756983,53.74966692267904,77.68817616818845,78.85866972039317,101.21636424731183,73.03255872335194,71.97072251736385,63.75184689735163,62.67142605819874,69.69649347126719,76.16261646473154,44.561391665131175,45.26845168726998,24.231412613595708,40.3111052001151,27.774639614589127,42.306309208796364,20.12518705230105,14.2513714101323,21.905476369092273,27.103960396039604,27.741585233441914,55.831739961759084,21.376748251748253,28.143534994068805,19.714506172839506,16.14423076923077,22.360360360360364,0.0,0.0,0.0,0.0
cashConversionCycle,332.8071213796481,174.32429841926194,163.52227733004395,190.9923796845453,195.88223755262428,163.0029878702447,172.20322569072027,152.0006453021427,153.6415189022358,155.91228687067428,153.75230787609792,160.55562559010872,139.89063891081545,207.06162255394523,187.51951251243293,207.21617416437525,217.78793068994145,158.82670444936534,168.62805170171112,197.87557300049744,234.49166750482078,221.88711256407996,272.511885775076,220.4319303182022,238.48876875064423,179.80922422555545,262.82581844287563,226.37613867812618,239.98018045844685,252.6214219370092,196.78854326024137,225.97560892032294,232.48813321732408,207.13083209232067,224.69128578265682
grossProfitMargin,0.3178218650594341,0.3389070040433025,0.3499768233061335,0.40168126506378227,0.42403560562973397,0.4471275704453141,0.45701849836779107,0.4400463270191397,0.4279365695964309,0.41817898553384475,0.4068228694425965,0.4073354755796681,0.40295605814794305,0.5234260174374418,0.49923160383211734,0.497489177212867,0.5546766844873882,0.5290263411682393,0.5651365427290431,0.5014397138996759,0.5872757531845421,0.5702399112467064,0.49564888384411654,0.449341208541572,0.5311784168999746,0.6038879070941682,0.545671167593328,0.6023584905660377,0.5087187263078089,0.429198682766191,0.41823899371069184,0.4334470989761092,0.5510416666666667,0.5856992639327024,0.5903465346534653
