,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,1.1408425645970055,1.3227800933399274,1.2254997153621296,1.337579327663111,0.9729269050244747,1.276305951313713,1.5615182032813344,1.3654896278153947,1.3513965626556768,1.5742781788206135,1.6308414174133414,1.6109374451621024,1.3661183527590994,1.4068469592336823,1.5887421034178029,1.4499045678086022,1.160497548505256,1.722377655134822,1.6318031701591649,1.6375667160709801,1.6988993418361655,1.9147042276161388,1.856353591160221,1.8788947677836567,1.4330218068535825,1.3847251962883655,1.1622222222222223,1.140655105973025
quickRatio,0.9384242498774009,1.1903956366667352,1.0375626043405677,1.114852374963589,0.8524307453217852,1.1183620736116497,1.2392307929982207,1.1115776017963743,1.0701121250547228,1.219907433298511,1.2080190409507092,1.0496127914955724,1.0496244961969194,1.1243430608153264,1.31951093988038,1.2139452404314053,0.9685579106015224,1.2470041903009863,1.3614350365000392,1.3296320593499689,1.3663127951511547,1.5558029255746664,1.4433701657458564,1.5149911816578483,1.125233644859813,1.039971448965025,0.845925925925926,0.8246628131021194
cashRatio,0.05811223072925933,0.49353919869860974,0.03918919783291437,0.07262872928024253,0.04027144522232816,0.025616890584519342,0.05564128149064981,0.027112164331723913,0.016263982609483266,0.0262522118251836,0.04926200783097333,0.03566989673229666,0.015751084817361195,0.009730452216529293,0.033532153262895444,0.02973225249825356,0.015191636301199992,0.07053034561466265,0.08809282557554839,0.04791948446733781,0.07079909270070278,0.04237662755184054,0.0285451197053407,0.007642563198118754,0.001869158878504673,0.0021413276231263384,0.0,0.007707129094412331
daysOfSalesOutstanding,50.42840332833496,54.59506387157875,50.069975995448864,51.16065376329872,52.625828480964934,53.80151000234482,52.566944300356134,58.0507564108382,55.97209335977733,55.955253971902195,47.19578469795064,54.91992453555333,42.27566561375094,45.45311649749513,48.1840978908673,51.81644955025887,46.34758403041052,51.208731134087635,50.48188642664906,53.17395481540078,53.72321017739539,61.29890646098631,54.91798864081472,49.925846892504666,45.615512580578084,44.58998487649134,44.767479325528946,39.570442342111996
daysOfInventoryOutstanding,52.90059307675383,53.95580965304798,46.637368881188735,46.28845663472679,44.977635427148414,44.36786908643828,43.48016298322123,44.05747839940694,45.24486992274894,45.19015883774939,8.376745230600235,10.90884752051125,10.593238696808282,39.966327178581864,9.731646849692112,10.004795503015984,9.113809342649676,10.291120217057028,16.76061408467466,17.524394870314627,0.0,20.34175821888541,18.14430501930502,18.814932908197157,17.89775691184142,17.52892381576075,18.401662049861496,19.223414961422343
operatingCycle,103.32899640508879,108.55087352462672,96.70734487663759,97.44911039802551,97.60346390811335,98.1693790887831,96.04710728357736,102.10823481024514,101.21696328252628,101.14541280965159,55.57252992855088,65.82877205606458,52.868904310559216,85.419443676077,57.91574474055941,61.82124505327485,55.4613933730602,61.49985135114466,67.24250051132373,70.69834968571541,53.72321017739539,81.64066467987172,73.06229366011974,68.74077980070183,63.513269492419504,62.11890869225209,63.16914137539044,58.79385730353434
daysOfPayablesOutstanding,168.51851332811074,161.66114575214343,130.37106044211595,139.18831407756275,145.9820323302229,155.60411388324087,137.23284754560163,137.10406913976104,123.09568755640376,112.76222735520955,19.73916933734714,29.19900544801573,24.50817775154279,100.95146419535853,23.55279250123277,29.481527119227927,30.63523307002143,32.228021768843924,48.54865966499063,51.3149272194961,50.785282936193504,50.630501244571455,46.37367277992278,40.296931048226384,3.6176317162232654,45.49552499454268,53.486149584487535,45.54847366655485
cashConversionCycle,-65.18951692302196,-53.1102722275167,-33.663715565478356,-41.73920367953724,-48.37856842210954,-57.43473479445777,-41.18574026202427,-34.9958343295159,-21.87872427387748,-11.616814545557958,35.83336059120374,36.629766608048854,28.360726559016427,-15.53202051928153,34.362952239326646,32.339717934046924,24.826160303038765,29.27182958230074,18.693840846333096,19.383422466219315,2.9379272412018835,31.010163435300264,26.688620880196957,28.443848752475446,59.89563777619624,16.623383697709414,9.682991790902904,13.24538363697949
grossProfitMargin,0.8871127359444625,0.8885592630507911,0.8900230694344363,0.8915128257922791,0.8938414667241121,0.8943974172171191,0.8922880214643724,0.88894522056517,0.8872722315289967,0.8851350303099951,0.4377777760000469,0.433173466758019,0.44185708115460254,0.8617245441786295,0.4284508225101847,0.43829146088325815,0.46232861048715784,0.4530906579455199,0.6310098403596915,0.6279263726572603,0.635233133989863,0.6357781955758984,0.5942028985507246,0.5984529207788744,0.6013724266999376,0.6151067047555033,0.6122865427988401,0.6188954231654309
operatingProfitMargin,0.10782165676840358,0.11751588408478768,0.10686239432588061,0.10910060063433194,0.12297738731482108,0.13120862647843942,0.13926044382835712,0.13183658044324556,0.1394134837452096,0.13540106875053867,0.11961390885947278,0.0908190011646524,0.10005653182899593,0.08167760661848668,0.07793508952316405,0.07712857585951853,0.0797973817679165,0.08500172662455056,0.10140175860681541,0.10111178686783079,0.09169295026810506,0.08806329165856538,0.07897571484528006,0.08498266204321152,0.08685104318292092,0.08847252562594522,0.08140908602727956,0.06801329583226796
pretaxProfitMargin,0.1023019325007038,0.10832201376999899,0.0937170616348248,0.09603586168125257,0.10903205757231242,0.11840396632880104,0.12671058869009186,0.11526713241349451,0.11935107694833838,0.10969962938489385,0.0928423489619874,0.07688268259765076,0.09125094500035465,0.06298142906094814,0.0578970133687504,0.09841147138119438,0.043741551221197925,0.06884737654634464,0.08719452316768792,0.08501984413135974,0.055587924763711626,0.06515569619575784,0.060125342734038384,0.06567084555881568,0.07340403410272406,0.06721559401781213,0.05692192030931157,0.05995908974686781
